Y,X,Z,Omega,psi,U,V
0.015503876,0.2015503876,0,0.2159498219,-0.000025275,-0.0022782073,0.000280007
0.015503876,0.2093023256,0,0.2326988818,-2.7462653092E-05,-0.0024665524,0.0002842693
0.015503876,0.2170542636,0,0.2496762513,-2.9680121222E-05,-0.002657445,0.0002877015
0.015503876,0.2248062016,0,0.2668342001,-3.1921071861E-05,-0.0028503459,0.0002903325
0.015503876,0.2325581395,0,0.284126207,-3.4179401914E-05,-0.0030447325,0.0002921899
0.015503876,0.2403100775,0,0.3015069483,-3.6449215624E-05,-0.0032400981,0.0002932995
0.015503876,0.2480620155,0,0.3189322672,-3.8724811369E-05,-0.0034359512,0.0002936855
0.015503876,0.2558139535,0,0.3363591314,-4.1000667582E-05,-0.0036318148,0.0002933703
0.015503876,0.2635658915,0,0.3537455807,-4.3271428225E-05,-0.0038272249,0.0002923741
0.015503876,0.2713178295,0,0.3710506682,-4.5531888201E-05,-0.0040217299,0.0002907156
0.015503876,0.2790697674,0,0.3882343998,-0.000047777,-0.0042148892,0.0002884115
0.015503876,0.2868217054,0,0.4052576714,-5.0001754969E-05,-0.0044062729,0.0002854767
0.015503876,0.2945736434,0,0.4220822086,-5.2201380139E-05,-0.00459546,0.0002819247
0.015503876,0.3023255814,0,0.4386705096,-5.4371116319E-05,-0.0047820382,0.0002777672
0.015503876,0.3100775194,0,0.4549857929,-5.6506312123E-05,-0.0049656028,0.0002730149
0.015503876,0.3178294574,0,0.4709919515,-5.8602393385E-05,-0.005145756,0.0002676772
0.015503876,0.3255813953,0,0.4866535142,-6.0654854974E-05,-0.0053221063,0.0002617624
0.015503876,0.3333333333,0,0.5019356156,-6.265925413E-05,-0.0054942682,0.0002552783
0.015503876,0.3410852713,0,0.5168039748,-6.4611205378E-05,-0.0056618617,0.000248232
0.015503876,0.3488372093,0,0.5312248839,-6.6506377098E-05,-0.0058245121,0.0002406303
0.015503876,0.3565891473,0,0.5451652068,-6.834048977E-05,-0.0059818499,0.0002324799
0.015503876,0.3643410853,0,0.558592388,-7.0109315917E-05,-0.0061335109,0.0002237875
0.015503876,0.3720930233,0,0.5714744718,-7.1808681753E-05,-0.0062791362,0.0002145603
0.015503876,0.3798449612,0,0.5837801324,-7.3434470519E-05,-0.0064183729,0.000204806
0.015503876,0.3875968992,0,0.595478714,-7.4982627488E-05,-0.006550874,0.0001945328
0.015503876,0.3953488372,0,0.6065402814,-7.644916658E-05,-0.0066762993,0.0001837502
0.015503876,0.4031007752,0,0.61693568,-7.7830178564E-05,-0.0067943162,0.0001724687
0.015503876,0.4108527132,0,0.6266366058,-7.9121840754E-05,-0.0069046002,0.0001607001
0.015503876,0.4186046512,0,0.6356156838,-8.0320428142E-05,-0.0070068361,0.0001484577
0.015503876,0.4263565891,0,0.6438465554,-8.1422325864E-05,-0.0071007189,0.0001357568
0.015503876,0.4341085271,0,0.651303973,-0.000082424,-0.0071859549,0.0001226141
0.015503876,0.4418604651,0,0.6579639014,-8.3322227048E-05,-0.0072622631,0.0001090486
0.015503876,0.4496124031,0,0.6638036265,-8.4113680561E-05,-0.0073293763,9.5081293907E-05
0.015503876,0.4573643411,0,0.6688018677,-8.4795377162E-05,-0.0073870425,8.0735386276E-05
0.015503876,0.4651162791,0,0.6729388961,-8.5364479463E-05,-0.0074350267,6.6036415388E-05
0.015503876,0.4728682171,0,0.6761966554,-8.5818357145E-05,-0.0074731118,5.1012286588E-05
0.015503876,0.480620155,0,0.678558885,-8.6154605593E-05,-0.0075011004,3.5693332578E-05
0.015503876,0.488372093,0,0.6800112455,-8.6371064842E-05,-0.0075188166,2.0112344057E-05
0.015503876,0.496124031,0,0.6805414431,-8.6465838684E-05,-0.007526107,4.304579145E-06
0.015503876,0.503875969,0,0.6801393538,-8.6437313759E-05,-0.0075228427,-1.1692249011E-05
0.015503876,0.511627907,0,0.6787971457,-8.628417847E-05,-0.0075089207,-0.000027838
0.015503876,0.519379845,0,0.6765093979,-8.6005441532E-05,-0.0074842652,-4.409019876E-05
0.015503876,0.5271317829,0,0.6732732145,-8.5600449993E-05,-0.0074488293,-0.000060404
0.015503876,0.5348837209,0,0.6690883341,-8.5068906535E-05,-0.0074025962,-7.6732592521E-05
0.015503876,0.5426356589,0,0.6639572312,-8.4410885884E-05,-0.0073455807,-9.3026830462E-05
0.015503876,0.5503875969,0,0.657885211,-8.3626850144E-05,-0.0072778302,-0.0001092359
0.015503876,0.5581395349,0,0.6508804943,-8.2717662879E-05,-0.007199426,-0.000125307
0.015503876,0.5658914729,0,0.6429542923,-8.1684601768E-05,-0.007110484,-0.0001411862
0.015503876,0.5736434109,0,0.6341208702,-8.0529369675E-05,-0.0070111561,-0.0001568178
0.015503876,0.5813953488,0,0.6243975989,-7.9254103949E-05,-0.0069016303,-0.0001721453
0.015503876,0.5891472868,0,0.613804993,-7.7861383824E-05,-0.0067821316,-0.0001871114
0.015503876,0.5968992248,0,0.6023667346,-7.6354235761E-05,-0.0066529223,-0.0002016581
0.015503876,0.6046511628,0,0.5901096824,-7.4736136596E-05,-0.0065143024,-0.0002157271
